"tagId","relevance"
4,0.09675
5,0.14675
6,0.217
7,0.067
8,0.26275
9,0.262
10,0.032
11,0.577
12,0.11625
13,0.188
15,0.03675
16,0.28175
18,0.1105
19,0.6705
20,0.1845
21,0.33025
22,0.2825
23,0.057
25,0.085
26,0.081
27,0.195
28,0.0715
29,0.892
30,0.67625
31,0.03875
32,0.228
33,0.402
34,0.03875
35,0.02675
36,0.33025
37,0.101
42,0.02475
43,0.14725
44,0.0415
45,0.26725
46,0.25575
48,0.141
49,0.32
50,0.06825
51,0.26525
52,0.15825
53,0.235
54,0.07575
55,0.17875
56,0.0245
59,0.13725
60,0.03125
61,0.54475
62,0.68775
63,0.93325
64,0.98575
65,0.101
66,0.0375
67,0.12075
68,0.03775
70,0.1435
73,0.07325
75,0.2275
77,0.097
78,0.0445
79,0.3575
80,0.02375
81,0.0545
82,0.111
83,0.03225
84,0.27975
85,0.09225
86,0.30275
87,0.04125
90,0.1435
91,0.0595
92,0.02875
93,0.32775
94,0.33225
95,0.044
96,0.0435
97,0.0625
98,0.05675
99,0.12725
100,0.10775
101,0.06875
105,0.03975
107,0.1875
108,0.03
109,0.13675
110,0.09675
113,0.53425
114,0.034
115,0.2245
118,0.0305
120,0.1285
121,0.32025
122,0.23425
124,0.043
125,0.0465
126,0.05025
127,0.0415
128,0.43325
129,0.1795
131,0.02725
132,0.2645
133,0.1155
134,0.0745
